Name,Project Title,Amount($),Fiscal Year,Program
"Draper, Stark",Encoded computing for efficient and robust large-scale distributed optimization,46000,2021-2022,Discovery Grants Program - Individual
"Draper, Stark",Encoded computing for efficient and robust large-scale distributed optimization,46000,2019-2020,Discovery Grants Program - Individual
"Draper, Stark",Encoded computing for efficient and robust large-scale distributed optimization,46000,2020-2021,Discovery Grants Program - Individual
"Draper, Stark",Encoded computing for efficient and robust large-scale distributed optimization,46000,2022-2023,Discovery Grants Program - Individual
"Draper, Stark",Encoded computing for efficient and robust large-scale distributed optimization,92000,2023-2024,Discovery Grants Program - Individual
"Farzad, Babak",Algorithmic and Computational Graph Theory and Game Theory,15000,2016-2017,Discovery Grants Program - Individual
"Farzad, Babak",Algorithmic and Computational Graph Theory and Game Theory,15000,2014-2015,Discovery Grants Program - Individual
"Farzad, Babak",Algorithmic and Computational Graph Theory and Game Theory,15000,2015-2016,Discovery Grants Program - Individual
"Farzad, Babak",Algorithmic and Computational Graph Theory and Game Theory,15000,2013-2014,Discovery Grants Program - Individual
"Farzad, Babak",Algorithmic and Computational Graph Theory and Game Theory,15000,2017-2018,Discovery Grants Program - Individual
"Feng, Chen",Information and Coding Theory for Blockchain Technology,50000,2023-2024,Discovery Grants Program - Individual
"Gambs, Sébastien",Protecting location privacy in online and offline contexts,38000,2020-2021,Discovery Grants Program - Individual
"Gambs, Sébastien",Protecting location privacy in online and offline contexts,38000,2019-2020,Discovery Grants Program - Individual
"Gambs, Sébastien",Protecting location privacy in online and offline contexts,38000,2018-2019,Discovery Grants Program - Individual
"Gambs, Sébastien",Protecting location privacy in online and offline contexts,38000,2017-2018,Discovery Grants Program - Individual
"Gambs, Sébastien",Protecting location privacy in online and offline contexts,38000,2016-2017,Discovery Grants Program - Individual
"Gerolin, Augusto",Multi-marginal Optimal Transport: Generative models meet Density Functional Theory,108000,2022-2023,Discovery Grants Program - Individual
"Gerolin, Augusto",Multi-marginal Optimal Transport: Generative models meet Density Functional Theory,23000,2023-2024,Discovery Grants Program - Individual
"Ghorbani, AliAkbar",Intelligent network survivability tools,30000,2012-2013,Discovery Grants Program - Individual
"Ghorbani, Aliakbar",Intelligent network survivability tools,30000,2011-2012,Discovery Grants Program - Individual
"Ghorbani, Aliakbar",Intelligent network survivability tools,30000,2010-2011,Discovery Grants Program - Individual
"Ghorbani, Aliakbar",Intelligent network survivability tools,30000,2013-2014,Discovery Grants Program - Individual
"Gidel, Gauthier",Machine Learning in the Presence of Model-Dependent Data,36000,2023-2024,Discovery Grants Program - Individual
"Gordon, Reuven",Nano-Optomechanics with Applications to Protein Dynamics and Terahertz Technology,87000,2022-2023,Discovery Grants Program - Individual
"Gordon, Reuven",Nano-Optomechanics with Applications to Protein Dynamics and Terahertz Technology,87000,2018-2019,Discovery Grants Program - Individual
"Gordon, Reuven",Nano-Optomechanics with Applications to Protein Dynamics and Terahertz Technology,87000,2020-2021,Discovery Grants Program - Individual
"Gordon, Reuven",Nano-Optomechanics with Applications to Protein Dynamics and Terahertz Technology,87000,2017-2018,Discovery Grants Program - Individual
"Gordon, Reuven",Nano-Optomechanics with Applications to Protein Dynamics and Terahertz Technology,87000,2019-2020,Discovery Grants Program - Individual
"Grolinger, Katarina",Edge-Cloud Computing for Internet of Things Data Analytics,28000,2018-2019,Discovery Grants Program - Individual
"Grolinger, Katarina",Edge-Cloud Computing for Internet of Things Data Analytics,28000,2019-2020,Discovery Grants Program - Individual
"Grolinger, Katarina",Edge-Cloud Computing for Internet of Things Data Analytics,28000,2020-2021,Discovery Grants Program - Individual
"Grolinger, Katarina",Edge-Cloud Computing for Internet of Things Data Analytics,28000,2022-2023,Discovery Grants Program - Individual
"Grolinger, Katarina",Edge-Cloud Computing for Internet of Things Data Analytics,28000,2023-2024,Discovery Grants Program - Individual
"Grossman, Maura",Evaluation of High-Recall Human-in-the-Loop Information Retrieval Technologies,20000,2020-2021,Discovery Grants Program - Individual
"Grossman, Maura",Evaluation of High-Recall Human-in-the-Loop Information Retrieval Technologies,20000,2019-2020,Discovery Grants Program - Individual
"Grossman, Maura",Evaluation of High-Recall Human-in-the-Loop Information Retrieval Technologies,20000,2018-2019,Discovery Grants Program - Individual
"Grossman, Maura",Evaluation of High-Recall Human-in-the-Loop Information Retrieval Technologies,40000,2021-2022,Discovery Grants Program - Individual
"Grossman, Maura",Evaluation of High-Recall Human-in-the-Loop Information Retrieval Technologies,20000,2017-2018,Discovery Grants Program - Individual
"Hach, Faraz",Novel Algorithms for Detecting the Clonal Composition and Monitoring the Evolution of Tumours via Liquid Biopsies Sequencing Data,26000,2021-2022,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast spectroscopy of semiconductor materials for the advancement of quantum technologies,50000,2021-2022,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2018-2019,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2019-2020,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast spectroscopy of semiconductor materials for the advancement of quantum technologies,50000,2020-2021,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast spectroscopy of semiconductor materials for the advancement of quantum technologies,50000,2022-2023,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2016-2017,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast spectroscopy of semiconductor materials for the advancement of quantum technologies,50000,2023-2024,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2017-2018,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2014-2015,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2012-2013,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2015-2016,Discovery Grants Program - Individual
"Hall, Kimberley",Ultrafast Optical Studies of Semiconductor Materials for Spintronics and Quantum Computing,39000,2013-2014,Discovery Grants Program - Individual
"Hall, Trevor",Ubiquitous and embedded photonic networks,43854,2011-2012,Discovery Grants Program - Individual
"Hall, Trevor",Ubiquitous and embedded photonic networks,43854,2010-2011,Discovery Grants Program - Individual
"Hall, Trevor",Ubiquitous and embedded photonic networks,43854,2012-2013,Discovery Grants Program - Individual
"Hamilton, William",Representation Learning with Relational Data,33000,2020-2021,Discovery Grants Program - Individual
"Hamilton, William",Representation Learning with Relational Data,33000,2019-2020,Discovery Grants Program - Individual
"Hamilton, William",Representation Learning with Relational Data,8088,2021-2022,Discovery Grants Program - Individual
"Hossain, Shahadat",Computing with Sparse and Structured Matrices: Mathematical Derivatives and Beyond,18000,2018-2019,Discovery Grants Program - Individual
"Hossain, Shahadat",Computing with Sparse and Structured Matrices: Mathematical Derivatives and Beyond,18000,2019-2020,Discovery Grants Program - Individual
"Hossain, Shahadat",Computing with Sparse and Structured Matrices: Mathematical Derivatives and Beyond,18000,2015-2016,Discovery Grants Program - Individual
"Hossain, Shahadat",Computing with Sparse and Structured Matrices: Mathematical Derivatives and Beyond,18000,2016-2017,Discovery Grants Program - Individual
"Hossain, Shahadat",Computing with Sparse and Structured Matrices: Mathematical Derivatives and Beyond,18000,2017-2018,Discovery Grants Program - Individual
"Hughes, Stephen",Fundamental Studies of Light-Matter Interactions in Quantum Nanophotonics,77000,2017-2018,Discovery Grants Program - Individual
"Hughes, Stephen",Fundamental Studies of Light-Matter Interactions in Quantum Nanophotonics,77000,2016-2017,Discovery Grants Program - Individual
"Hughes, Stephen",Fundamental Studies of Light-Matter Interactions in Quantum Nanophotonics,77000,2015-2016,Discovery Grants Program - Individual
"Hughes, Stephen",Fundamental Studies of Light-Matter Interactions in Quantum Nanophotonics,77000,2019-2020,Discovery Grants Program - Individual
"Hughes, Stephen",Dissipative mode theories and reservoir engineering in quantum nanophotonics,61000,2020-2021,Discovery Grants Program - Individual
"Hughes, Stephen",Fundamental Studies of Light-Matter Interactions in Quantum Nanophotonics,77000,2018-2019,Discovery Grants Program - Individual
"Hughes, Stephen",Dissipative mode theories and reservoir engineering in quantum nanophotonics,61000,2021-2022,Discovery Grants Program - Individual
"Hughes, Stephen",Dissipative mode theories and reservoir engineering in quantum nanophotonics,61000,2023-2024,Discovery Grants Program - Individual
"Hughes, Stephen",Dissipative mode theories and reservoir engineering in quantum nanophotonics,61000,2022-2023,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in Number Theory and Cryptography,29000,2022-2023,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in number theory and cryptography,33000,2012-2013,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in number theory and cryptography,33000,2014-2015,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in number theory and cryptography,33000,2011-2012,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in number theory and cryptography,33000,2015-2016,Discovery Grants Program - Individual
"Jacobson, Jr, Michael",Algorithms in number theory and cryptography,33000,2013-2014,Discovery Grants Program - Individual
"Jacobson, Jr., Michael",Algorithms in Number Theory and Cryptography,29000,2023-2024,Discovery Grants Program - Individual
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2021-2022,Discovery Grants Program - Individual
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2023-2024,Discovery Grants Program - Individual
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2022-2023,Discovery Grants Program - Individual
"Jennewein, Thomas",Quantum photonics devices for quantum communications,32000,2010-2011,Discovery Grants Program - Individual
"Jennewein, Thomas",Quantum photonics devices for quantum communications,32000,2011-2012,Discovery Grants Program - Individual
"Jennewein, Thomas",Quantum photonics devices for quantum communications,32000,2013-2014,Discovery Grants Program - Individual
"Jennewein, Thomas",Quantum photonics devices for quantum communications,32000,2012-2013,Discovery Grants Program - Individual
"Jennewein, Thomas",Quantum photonics devices for quantum communications,32000,2014-2015,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,23000,2014-2015,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,23000,2015-2016,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,23000,2016-2017,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,23000,2017-2018,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,23000,2018-2019,Discovery Grants Program - Individual
"Julien, CharlesAntoine",Improving Retrieval of Unstructured Information using existing Information Structures,19425,2019-2020,Discovery Grants Program - Individual
"Kamel, Mohamed",Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms,34000,2013-2014,Discovery Grants Program - Individual
"Kamel, Mohamed",Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms,34000,2011-2012,Discovery Grants Program - Individual
"Kamel, Mohamed",Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms,34000,2010-2011,Discovery Grants Program - Individual
"Kamel, Mohamed",Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms,34000,2014-2015,Discovery Grants Program - Individual
"Kamel, Mohamed",Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms,34000,2012-2013,Discovery Grants Program - Individual
"Karray, Fakhreddine",Multi Purpose Platform for Virtual Care System,46000,2022-2023,Discovery Grants Program - Individual
"Karray, Fakhreddine",Multi Purpose Platform for Virtual Care System,46000,2021-2022,Discovery Grants Program - Individual
"Karray, Fakhreddine",Multi Purpose Platform for Virtual Care System,46000,2023-2024,Discovery Grants Program - Individual
"Kaur, Kuljeet",Carbon Intelligent Computing for Hyper-scale Data-centres: Matching Computing and Networking with Global Economy Needs,27164,2021-2022,Discovery Grants Program - Individual
"Kaur, Kuljeet",Carbon Intelligent Computing for Hyper-scale Data-centres: Matching Computing and Networking with Global Economy Needs,27164,2022-2023,Discovery Grants Program - Individual
"Kaur, Kuljeet",Carbon Intelligent Computing for Hyper-scale Data-centres: Matching Computing and Networking with Global Economy Needs,27164,2023-2024,Discovery Grants Program - Individual
"Khabbazian, Majid",Developing distributed algorithms for the proximate internet,25000,2011-2012,Discovery Grants Program - Individual
"Khabbazian, Majid",Developing distributed algorithms for the proximate internet,25000,2012-2013,Discovery Grants Program - Individual
"Khabbazian, Majid",Developing distributed algorithms for the proximate internet,25000,2014-2015,Discovery Grants Program - Individual
"Khabbazian, Majid",Developing distributed algorithms for the proximate internet,25000,2015-2016,Discovery Grants Program - Individual
"Khabbazian, Majid",Developing distributed algorithms for the proximate internet,25000,2013-2014,Discovery Grants Program - Individual
"Khoury, Richard","Forage de données d'assurance : techniques, éthique, et sécurité",173913,2019-2020,Collaborative Research and Development Grants
"Khoury, Richard","Forage de données d'assurance : techniques, éthique, et sécurité",173913,2021-2022,Collaborative Research and Development Grants
"Khoury, Richard RE","Forage de données d'assurance : techniques, éthique, et sécurité",173913,2023-2024,Collaborative Research and Development Grants
"Kövecses, Jozsef",Dynamics of Mechanical Systems,33000,2018-2019,Discovery Grants Program - Individual
"Kövecses, Jozsef",Dynamics of Mechanical Systems,33000,2015-2016,Discovery Grants Program - Individual
"Kövecses, Jozsef",Dynamics of Mechanical Systems,33000,2016-2017,Discovery Grants Program - Individual
"Kövecses, Jozsef",Dynamics of Mechanical Systems,33000,2014-2015,Discovery Grants Program - Individual
"Kövecses, Jozsef",Dynamics of Mechanical Systems,33000,2017-2018,Discovery Grants Program - Individual
"Krishnan, Sridhar",Non-stationary Signal Feature Extraction and Analysis,37000,2017-2018,Discovery Grants Program - Individual
"Krishnan, Sridhar",Non-stationary Signal Feature Extraction and Analysis,37000,2016-2017,Discovery Grants Program - Individual
"Krishnan, Sridhar",Non-stationary Signal Feature Extraction and Analysis,37000,2015-2016,Discovery Grants Program - Individual
"Krishnan, Sridhar",Non-stationary Signal Feature Extraction and Analysis,37000,2018-2019,Discovery Grants Program - Individual
"Krishnan, Sridhar",Non-stationary Signal Feature Extraction and Analysis,37000,2019-2020,Discovery Grants Program - Individual
"Kyan, Matthew",Associative mining for intelligent organisation and analysis of multimedia information,22000,2013-2014,Discovery Grants Program - Individual
"Kyan, Matthew",Associative mining for intelligent organisation and analysis of multimedia information,22000,2012-2013,Discovery Grants Program - Individual
"Kyan, Matthew",Associative mining for intelligent organisation and analysis of multimedia information,22000,2011-2012,Discovery Grants Program - Individual
"Kyan, Matthew",Associative mining for intelligent organisation and analysis of multimedia information,17000,2010-2011,Discovery Grants Program - Individual
"Laflamme, Raymond",Quantum Error Correction: Theory and Experiment,95000,2019-2020,Discovery Grants Program - Individual
"Laflamme, Raymond",Quantum Error Correction: Theory and Experiment,95000,2017-2018,Discovery Grants Program - Individual
"Laflamme, Raymond",Quantum Error Correction: Theory and Experiment,95000,2016-2017,Discovery Grants Program - Individual
"Laflamme, Raymond",Quantum Error Correction: Theory and Experiment,95000,2018-2019,Discovery Grants Program - Individual
"Laflamme, Raymond",Quantum Error Correction: Theory and Experiment,95000,2020-2021,Discovery Grants Program - Individual
"Laviolette, François",NSERC/Intact Financial Industrial Research Chair in Machine Learning for Insurances,150000,2019-2020,Industrial Research Chairs
"Laviolette, François",NSERC/Intact Financial Industrial Research Chair in Machine Learning for Insurances,111000,2021-2022,Industrial Research Chairs
"Laviolette, François",NSERC/Intact Financial Industrial Research Chair in Machine Learning for Insurances,111000,2020-2021,Industrial Research Chairs
"Le, Long",Adaptive wireless access techniques for cloud-based heterogeneous cellular networks,45000,2020-2021,Discovery Grants Program - Individual
"Le, Long",Adaptive wireless access techniques for cloud-based heterogeneous cellular networks,45000,2018-2019,Discovery Grants Program - Individual
"Le, Long",Adaptive wireless access techniques for cloud-based heterogeneous cellular networks,45000,2019-2020,Discovery Grants Program - Individual
"Le, Long",Adaptive wireless access techniques for cloud-based heterogeneous cellular networks,45000,2017-2018,Discovery Grants Program - Individual
"Le, Long",Adaptive wireless access techniques for cloud-based heterogeneous cellular networks,45000,2016-2017,Discovery Grants Program - Individual
"Lemieux, Guy",Compute-Oriented FPGA device architectures and tools,98500,2012-2013,Strategic Projects - Group
"Lemieux, Guy",Compute-Oriented FPGA device architectures and tools,98500,2013-2014,Strategic Projects - Group
"Lemieux, Guy",Compute-Oriented FPGA device architectures and tools,98500,2015-2016,Strategic Projects - Group
"LeytonBrown, Kevin",Predictive models of human behavior in strategic settings,35000,2015-2016,Collaborative Research and Development Grants
"Li, Xingyu",Weak supervision with imperfect annotations for medical image computing,24000,2022-2023,Discovery Grants Program - Individual
"Li, Xingyu",Weak supervision with imperfect annotations for medical image computing,24000,2021-2022,Discovery Grants Program - Individual
"Li, Xingyu",Weak supervision with imperfect annotations for medical image computing,24000,2023-2024,Discovery Grants Program - Individual
"Liang, Hao","Decentralized Operation, Control, and Communications in Smart Grid",27000,2019-2020,Discovery Grants Program - Individual
